"Net Profit: All","Net Profit %: All","Net Profit: Long","Net Profit %: Long","Net Profit: Short","Net Profit %: Short","Gross Profit: All","Gross Profit %: All","Gross Profit: Long","Gross Profit %: Long","Gross Profit: Short","Gross Profit %: Short","Gross Loss: All","Gross Loss %: All","Gross Loss: Long","Gross Loss %: Long","Gross Loss: Short","Gross Loss %: Short","Max Run-up","Max Run-up %","Max Drawdown","Max Drawdown %","Buy & Hold Return","Buy & Hold Return %","Sharpe Ratio","Sortino Ratio","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL","Open PL %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade %: All","Avg Trade: Long","Avg Trade %: Long","Avg Trade: Short","Avg Winning Trade: All","Avg Winning Trade %: All","Avg Winning Trade: Long","Avg Winning Trade %: Long","Avg Winning Trade: Short","Avg Losing Trade: All","Avg Losing Trade %: All","Avg Losing Trade: Long","Avg Losing Trade %: Long","Avg Losing Trade: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade %: All","Largest Winning Trade: Long","Largest Winning Trade %: Long","Largest Winning Trade: Short","Largest Losing Trade: All","Largest Losing Trade %: All","Largest Losing Trade: Long","Largest Losing Trade %: Long","Largest Losing Trade: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","__SMA #1","__SMA #2","__SMA #3","__Stop Loss %","__OverBought","__OverSold","__Volume MA","__Num dev","__Source","comment"
116043.65,386.81,116043.65,386.81,0,0,154878.8,516.26,154878.8,516.26,0,0,38835.15,129.45,38835.15,129.45,0,0,130681.4,85.99,9367.75,31.23,500550,1668.5,0.085,0.486,3.988,3.988,"N/A",36,36,0,510.6,0.35,0,0,0,45,45,0,1,1,0,18,18,0,27,27,0,40,40,"N/A",2578.75,8.79,2578.75,8.79,"N/A",8604.38,29.03,8604.38,29.03,"N/A",1438.34,4.7,1438.34,4.7,"N/A",5.982,5.982,"N/A",28830,106.65,28830,106.65,"N/A",3175,11.67,3175,11.67,"N/A",116,116,0,191,191,0,67,67,0,0,0,0,25,50,200,0.05,70,30,8,2.96,"close","Default parameters."
126954.5,423.18,126954.5,423.18,0,0,176865.95,589.55,176865.95,589.55,0,0,49911.45,166.37,49911.45,166.37,0,0,133039.5,81.6,19391.1,21.52,500550,1668.5,0.103,0.349,3.544,3.544,"N/A",35,35,0,3676.3,2.34,0,0,0,50,50,0,1,1,0,27,27,0,22,22,0,54,54,"N/A",2539.09,8.4,2539.09,8.4,"N/A",6550.59,21.66,6550.59,21.66,"N/A",2268.7,7.5,2268.7,7.5,"N/A",2.887,2.887,"N/A",25515,85.29,25515,85.29,"N/A",5971.8,20.35,5971.8,20.35,"N/A",92,92,0,139,139,0,38,38,0,0,0,0,38,58,190,0.09,46,30,6,2.5,"close","All parameters are changed randomly"
103915.2,346.38,103915.2,346.38,0,0,178698.85,595.66,178698.85,595.66,0,0,74783.65,249.28,74783.65,249.28,0,0,115799.6,85.19,18415.5,48.24,483705.5,1612.35,0.077,0.203,2.39,2.39,"N/A",36,36,0,-425.6,-0.32,0,0,0,73,73,0,1,1,0,35,35,0,38,38,0,47.95,47.95,"N/A",1423.5,4.78,1423.5,4.78,"N/A",5105.68,17.07,5105.68,17.07,"N/A",1967.99,6.54,1967.99,6.54,"N/A",2.594,2.594,"N/A",24788.4,91.7,24788.4,91.7,"N/A",5922.7,19,5922.7,19,"N/A",64,64,0,97,97,0,34,34,0,0,0,0,22,74,160,0.06,101,55,4,2.1,"close","All parameters are changed randomly"
162860.1,542.87,162860.1,542.87,0,0,176383.15,587.94,176383.15,587.94,0,0,13523.05,45.08,13523.05,45.08,0,0,167518.4,85.96,6584.75,14.91,500566.5,1668.55,0.073,1.422,13.043,13.043,"N/A",35,35,0,36.1,0.02,0,0,0,31,31,0,1,1,0,12,12,0,19,19,0,38.71,38.71,"N/A",5253.55,18.35,5253.55,18.35,"N/A",14698.6,51.18,14698.6,51.18,"N/A",711.74,2.38,711.74,2.38,"N/A",20.652,20.652,"N/A",62181.75,205.36,62181.75,205.36,"N/A",4116.5,14.28,4116.5,14.28,"N/A",176,176,0,397,397,0,37,37,0,0,0,0,22,90,370,0.01,112,15,13,3,"close","All parameters are changed randomly"
110777.15,369.26,110777.15,369.26,0,0,141525.65,471.75,141525.65,471.75,0,0,30748.5,102.49,30748.5,102.49,0,0,121791.75,81.36,11810.85,20.7,483121.15,1610.4,0.078,0.549,4.603,4.603,"N/A",35,35,0,-801.9,-0.57,0,0,0,40,40,0,1,1,0,19,19,0,21,21,0,47.5,47.5,"N/A",2769.43,9.07,2769.43,9.07,"N/A",7448.72,24.33,7448.72,24.33,"N/A",1464.21,4.73,1464.21,4.73,"N/A",5.087,5.087,"N/A",43530.9,146.94,43530.9,146.94,"N/A",4699.5,15.38,4699.5,15.38,"N/A",106,106,0,175,175,0,44,44,0,0,0,0,50,58,370,0.1,140,30,7,3.8,"close","All parameters are changed randomly"
97350.9,324.5,97350.9,324.5,0,0,136217.2,454.06,136217.2,454.06,0,0,38866.3,129.55,38866.3,129.55,0,0,107896.95,81.54,11185.3,26.15,500551.5,1668.51,0.081,0.324,3.505,3.505,"N/A",35,35,0,707.6,0.56,0,0,0,31,31,0,1,1,0,15,15,0,14,14,0,48.39,48.39,"N/A",3140.35,10.29,3140.35,10.29,"N/A",9081.15,29.78,9081.15,29.78,"N/A",2776.16,9.12,2776.16,9.12,"N/A",3.271,3.271,"N/A",24022.2,77.64,24022.2,77.64,"N/A",4419,15.33,4419,15.33,"N/A",163,163,0,229,229,0,115,115,0,0,0,0,34,98,250,0.09,68,45,10,4,"close","All parameters are changed randomly"
97137,323.79,97137,323.79,0,0,137344.85,457.82,137344.85,457.82,0,0,40207.85,134.03,40207.85,134.03,0,0,106454.9,81.32,10826.95,26.03,500551.5,1668.51,0.08,0.305,3.416,3.416,"N/A",35,35,0,-876,-0.69,0,0,0,31,31,0,1,1,0,15,15,0,15,15,0,48.39,48.39,"N/A",3133.45,10.42,3133.45,10.42,"N/A",9156.32,30.31,9156.32,30.31,"N/A",2680.52,8.77,2680.52,8.77,"N/A",3.416,3.416,"N/A",24022.2,77.64,24022.2,77.64,"N/A",4374.25,15.17,4374.25,15.17,"N/A",157,157,0,209,209,0,115,115,0,0,0,0,38,98,220,0.08,68,45,11,3.9,"close","All parameters are changed randomly"
148024.65,493.42,148024.65,493.42,0,0,190824.4,636.08,190824.4,636.08,0,0,42799.75,142.67,42799.75,142.67,0,0,199538.95,89.63,9985.15,29.24,500532,1668.44,0.055,0.868,4.459,4.459,"N/A",34,34,0,39790,22.35,0,0,0,23,23,0,1,1,0,9,9,0,14,14,0,39.13,39.13,"N/A",6435.85,21.47,6435.85,21.47,"N/A",21202.71,70.81,21202.71,70.81,"N/A",3057.12,10.24,3057.12,10.24,"N/A",6.936,6.936,"N/A",125995.5,415.46,125995.5,415.46,"N/A",4559.8,15.17,4559.8,15.17,"N/A",213,213,0,417,417,0,83,83,0,0,0,0,38,100,100,0.09,123,25,13,3.4,"close","All parameters are changed randomly"
32274.6,107.58,32274.6,107.58,0,0,112709.65,375.7,112709.65,375.7,0,0,80435.05,268.12,80435.05,268.12,0,0,40608.1,57.51,17741.05,36.09,500532,1668.44,0.036,0.066,1.401,1.401,"N/A",36,36,0,509.4,0.82,0,0,0,120,120,0,1,1,0,32,32,0,55,55,0,26.67,26.67,"N/A",268.95,0.85,268.95,0.85,"N/A",3522.18,11.66,3522.18,11.66,"N/A",1462.46,4.92,1462.46,4.92,"N/A",2.408,2.408,"N/A",11724.4,37.42,11724.4,37.42,"N/A",6024.8,24.85,6024.8,24.85,"N/A",21,21,0,41,41,0,20,20,0,0,0,0,30,74,400,0.05,57,40,6,2.2,"close","All parameters are changed randomly"
76396.2,254.65,76396.2,254.65,0,0,136199.75,454,136199.75,454,0,0,59803.55,199.35,59803.55,199.35,0,0,76930.5,71.94,16367.45,27.4,536144,1787.15,0.072,0.193,2.277,2.277,"N/A",36,36,0,0,0,0,0,0,122,122,0,0,0,0,55,55,0,51,51,0,45.08,45.08,"N/A",626.2,2.16,626.2,2.16,"N/A",2476.36,8.38,2476.36,8.38,"N/A",1172.62,3.88,1172.62,3.88,"N/A",2.112,2.112,"N/A",24788.4,91.7,24788.4,91.7,"N/A",4108.05,12.95,4108.05,12.95,"N/A",19,19,0,27,27,0,15,15,0,0,0,0,34,90,310,0.06,101,45,14,0.5,"close","All parameters are changed randomly"
